,PCODE,Region,Province,Municipality_City,food,clothing,power,entertainment,house_items,Health,Transport,Education,Communication,leisure,eats,poverty
87,PH143213000,CAR,Kalinga,Tabuk,8.8,1.9,21.3,5.7,11.9,17.3,2.8,16.3,18.1,3.2,22.3,0.0
88,PH143214000,CAR,Kalinga,Tanudan,40.7,7.1,17.4,29.1,52.3,30.7,6.1,20.0,66.6,8.6,21.5,0.0
89,PH143215000,CAR,Kalinga,Tinglayan,26.4,4.8,18.0,18.6,34.2,34.1,5.3,15.5,72.0,9.5,24.8,0.0
90,PH144401000,CAR,Mountain Province,Barlig,16.7,3.9,23.6,10.2,23.1,27.4,8.3,30.4,20.2,4.6,33.7,0.0
91,PH144402000,CAR,Mountain Province,Bauko,21.1,3.8,17.8,14.9,27.3,34.4,7.8,22.7,13.4,2.8,28.4,0.0
92,PH144403000,CAR,Mountain Province,Besao,16.3,3.6,22.3,10.3,22.3,26.9,7.7,28.7,19.2,4.2,29.9,0.0
93,PH144404000,CAR,Mountain Province,Bontoc,10.9,2.8,25.6,6.3,15.4,16.7,4.9,29.4,15.1,5.1,41.6,0.0
94,PH144405000,CAR,Mountain Province,Natonin,39.7,5.9,14.8,30.1,49.4,37.4,9.2,24.5,59.2,9.5,25.4,0.0
95,PH144406000,CAR,Mountain Province,Paracelis,40.6,6.0,14.8,30.7,50.5,46.7,10.0,21.4,43.1,5.5,17.5,0.0
96,PH144407000,CAR,Mountain Province,Sabangan,10.9,2.7,24.9,6.4,15.4,26.0,8.1,31.1,11.4,3.0,36.3,0.0
97,PH144408000,CAR,Mountain Province,Sadanga,42.7,7.8,18.4,29.8,55.6,39.0,10.9,27.8,55.1,8.2,23.2,0.0
98,PH144409000,CAR,Mountain Province,Sagada,10.2,2.5,24.5,6.1,14.3,35.4,9.0,25.4,11.2,2.5,29.1,0.0
99,PH144410000,CAR,Mountain Province,Tadian,21.6,3.8,17.4,15.4,27.8,36.2,7.2,20.0,23.9,3.9,23.5,0.0
100,PH148101000,CAR,Apayao,Calanasan (Bayag),62.6,7.5,12.0,50.2,75.0,32.9,7.0,21.4,34.6,7.5,29.2,0.0
101,PH148102000,CAR,Apayao,Conner,56.3,5.7,10.1,46.9,65.7,30.3,4.6,15.2,35.1,5.4,20.0,0.0
102,PH148103000,CAR,Apayao,Flora,35.7,6.1,17.1,25.7,45.8,26.2,5.3,20.1,23.0,4.5,24.9,0.0
103,PH148104000,CAR,Apayao,Kabugao,63.9,5.9,9.3,54.1,73.7,40.6,5.3,13.0,39.2,5.6,19.9,0.0
104,PH148105000,CAR,Apayao,Luna,33.4,4.6,13.6,25.9,40.9,28.8,4.7,16.4,16.8,3.0,22.4,0.0
105,PH148106000,CAR,Apayao,Pudtol,41.1,6.0,14.5,31.3,50.9,29.8,5.5,18.3,26.1,4.0,19.2,0.0
106,PH148107000,CAR,Apayao,Santa Marcela,32.6,5.8,17.7,23.1,42.2,23.8,4.9,20.7,18.2,3.9,27.4,0.0
107,PH012801000,Region I,Ilocos Norte,Adams,17.9,12.6,70.3,-2.8,38.6,29.4,1.1,8.5,39.9,0.4,33.3,1.0
108,PH012802000,Region I,Ilocos Norte,Bacarra,11.4,2.1,18.5,7.9,14.9,13.2,2.3,11.7,11.7,0.5,16.4,1.0
109,PH012803000,Region I,Ilocos Norte,Badoc,14.0,2.4,17.0,10.1,18.0,19.6,1.4,11.3,19.6,0.5,11.5,1.0
110,PH012804000,Region I,Ilocos Norte,Bangui,12.0,2.4,20.1,8.0,15.9,12.6,2.1,13.6,24.5,0.4,12.0,1.0
111,PH012805000,Region I,Ilocos Norte,Batac,11.0,1.9,17.1,7.9,14.1,15.3,1.6,9.6,11.2,0.4,15.4,1.0
112,PH012806000,Region I,Ilocos Norte,Burgos,13.8,3.5,25.2,8.1,19.5,16.8,5.3,23.5,27.6,3.5,12.7,1.0
113,PH012807000,Region I,Ilocos Norte,Carasi,14.3,6.5,45.7,3.5,25.0,22.6,1.3,8.7,26.4,8.0,30.1,1.0
114,PH012808000,Region I,Ilocos Norte,Currimao,12.9,2.4,18.2,9.0,16.8,15.2,2.1,13.1,21.5,2.4,11.1,1.0
115,PH012809000,Region I,Ilocos Norte,Dingras,14.5,2.5,17.1,10.4,18.6,16.3,2.6,9.8,19.5,2.2,11.4,1.0
116,PH012810000,Region I,Ilocos Norte,Dumalneg,21.0,12.8,60.6,0.1,42.0,21.6,5.7,26.3,31.6,11.7,37.0,1.0
117,PH012811000,Region I,Ilocos Norte,Banna,15.8,2.8,18.1,11.1,20.4,17.8,2.2,12.2,21.8,2.3,10.7,1.0
118,PH012812000,Region I,Ilocos Norte,Laoag City,9.6,1.4,14.0,7.4,11.9,9.9,0.8,8.2,6.5,1.2,18.8,1.0
119,PH012813000,Region I,Ilocos Norte,Marcos,15.5,3.6,23.1,9.6,21.4,18.7,2.0,10.9,27.8,3.7,13.1,1.0
120,PH012814000,Region I,Ilocos Norte,Nueva Era,17.0,3.8,22.6,10.7,23.3,24.9,2.7,10.7,37.7,4.7,12.5,1.0
121,PH012815000,Region I,Ilocos Norte,Pagudpud,15.8,3.4,21.5,10.2,21.4,20.2,1.3,6.3,29.6,3.1,10.3,1.0
122,PH012816000,Region I,Ilocos Norte,Paoay,11.2,2.6,23.2,6.9,15.5,14.9,1.2,7.9,12.2,2.2,17.6,1.0
123,PH012817000,Region I,Ilocos Norte,Pasuquin,12.8,2.3,18.2,8.9,16.6,14.1,1.6,11.4,22.2,2.5,11.2,1.0
124,PH012818000,Region I,Ilocos Norte,Paiddig,14.0,2.8,19.8,9.4,18.5,16.3,2.6,16.1,20.6,2.1,10.2,1.0
125,PH012819000,Region I,Ilocos Norte,Painili,14.2,2.5,17.6,10.1,18.3,17.6,2.3,13.0,21.9,2.6,11.7,1.0
126,PH012820000,Region I,Ilocos Norte,San Nicolas,11.4,2.2,19.1,7.8,15.0,12.3,1.1,9.2,7.3,1.8,24.0,1.0
127,PH012821000,Region I,Ilocos Norte,Sarrat,12.3,2.0,16.7,8.9,15.7,14.0,1.9,13.5,20.2,2.6,13.0,1.0
128,PH012822000,Region I,Ilocos Norte,Solsona,13.3,2.6,19.1,9.1,17.5,15.0,1.3,8.7,21.6,2.5,11.4,1.0
129,PH012823000,Region I,Ilocos Norte,Vintar,13.4,2.3,17.3,9.6,17.2,16.8,2.0,12.0,18.7,2.1,11.0,1.0
130,PH012901000,Region I,Ilocos Sur,Alilim,23.7,5.3,22.3,15.0,32.4,27.4,2.4,8.6,37.5,5.8,15.5,1.0
131,PH012902000,Region I,Ilocos Sur,Banayoyo,18.7,3.9,20.7,12.3,25.1,20.9,2.6,12.6,19.2,3.2,16.9,1.0
132,PH012903000,Region I,Ilocos Sur,Bantay,17.3,2.5,14.5,13.2,21.4,16.4,1.9,11.3,13.2,2.4,18.4,1.0
133,PH012904000,Region I,Ilocos Sur,Burgos,17.9,2.7,15.2,13.4,22.3,26.5,3.2,12.2,26.4,2.6,9.9,1.0
134,PH012905000,Region I,Ilocos Sur,Cabugao,18.7,2.6,13.8,14.4,22.9,20.7,2.4,11.4,23.5,2.2,9.2,1.0
135,PH012906000,Region I,Ilocos Sur,Candon City,16.3,2.2,13.6,12.7,20.0,17.8,2.0,11.0,17.5,2.2,12.6,1.0
136,PH012907000,Region I,Ilocos Sur,Caoayan City,14.8,2.6,18.0,10.4,19.1,14.4,1.4,9.9,12.5,2.1,17.1,1.0
137,PH012908000,Region I,Ilocos Sur,Cervantes,22.3,4.2,18.8,15.4,29.2,24.5,3.6,14.6,38.2,5.1,13.2,1.0
138,PH012909000,Region I,Ilocos Sur,Galimuyod,18.7,3.2,17.3,13.3,24.0,20.6,2.8,13.8,33.5,3.7,11.0,1.0
139,PH012910000,Region I,Ilocos Sur,Gregorio del Pilar,19.3,4.9,25.3,11.3,27.3,26.1,3.4,13.1,29.3,6.2,21.0,1.0
140,PH012911000,Region I,Ilocos Sur,Lidlida,18.4,3.8,20.7,12.1,24.6,17.3,3.4,19.9,21.6,3.6,16.4,1.0
141,PH012912000,Region I,Ilocos Sur,Magsingkal,18.5,3.5,18.9,12.7,24.2,18.1,2.5,13.9,18.9,2.7,14.4,1.0
142,PH012913000,Region I,Ilocos Sur,Nagbukel,17.4,3.5,20.0,11.7,23.2,28.4,4.6,16.0,26.0,4.4,16.7,1.0
143,PH012914000,Region I,Ilocos Sur,Narvacan,16.8,2.5,14.7,12.8,20.9,17.7,1.9,11.0,17.2,2.0,11.7,1.0
144,PH012915000,Region I,Ilocos Sur,Quirino,21.7,4.5,20.9,14.3,29.2,27.2,4.3,15.8,35.8,5.8,16.2,1.0
145,PH012916000,Region I,Ilocos Sur,Salcedo,19.0,3.2,16.8,13.7,24.2,22.7,2.8,12.5,30.8,3.8,12.2,1.0
146,PH012917000,Region I,Ilocos Sur,San Emilio,21.7,5.1,23.6,13.3,30.1,23.7,4.7,19.9,33.8,4.9,14.6,1.0
147,PH012918000,Region I,Ilocos Sur,San Esteban,15.8,3.9,24.9,9.3,22.2,15.7,2.9,18.6,19.0,3.7,19.6,1.0
148,PH012919000,Region I,Ilocos Sur,San Ildefonson,16.1,3.4,20.8,10.6,21.6,15.4,2.4,15.4,16.8,2.7,15.9,1.0
149,PH012920000,Region I,Ilocos Sur,San Juan,16.1,2.5,15.4,12.0,20.2,18.0,2.3,12.8,13.9,2.3,16.7,1.0
150,PH012921000,Region I,Ilocos Sur,San Vicente,13.8,4.1,29.9,7.0,20.6,12.9,2.8,21.5,10.7,2.7,24.8,1.0
151,PH012922000,Region I,Ilocos Sur,Santa,14.8,2.6,17.6,10.5,19.0,13.6,2.3,16.9,20.0,2.4,12.0,1.0
152,PH012923000,Region I,Ilocos Sur,Santa Catalina,14.6,3.5,24.1,8.8,20.4,11.7,2.3,19.6,6.3,2.2,35.2,1.0
153,PH012924000,Region I,Ilocos Sur,Santa Cruz,18.8,2.5,13.3,14.7,22.9,24.0,2.3,9.7,33.2,2.3,7.0,1.0
154,PH012925000,Region I,Ilocos Sur,Santa Lucia,19.3,2.7,14.2,14.8,23.8,25.1,2.8,11.2,21.8,2.3,10.6,1.0
155,PH012926000,Region I,Ilocos Sur,Santa Maria,15.1,2.2,14.7,11.4,18.7,16.9,2.1,12.7,17.2,2.2,13.0,1.0
156,PH012927000,Region I,Ilocos Sur,Santiago,17.9,3.0,16.9,12.9,22.9,20.9,2.4,11.4,24.0,2.7,11.1,1.0
157,PH012928000,Region I,Ilocos Sur,Santo Domingo,16.2,2.4,14.6,12.3,20.1,16.4,2.0,12.3,17.1,2.0,11.5,1.0
158,PH012929000,Region I,Ilocos Sur,Sigay,23.0,6.0,26.3,13.1,33.0,27.2,5.5,20.1,36.2,7.5,20.7,1.0
159,PH012930000,Region I,Ilocos Sur,Sinait,17.8,2.8,15.6,13.2,22.3,18.7,2.5,13.2,16.7,2.6,15.5,1.0
160,PH012931000,Region I,Ilocos Sur,Sugpon,21.4,5.4,25.0,12.6,30.2,35.4,7.4,20.9,51.7,7.2,14.0,1.0
161,PH012932000,Region I,Ilocos Sur,Suyo,19.7,4.2,21.3,12.8,26.6,24.4,4.4,18.1,39.8,5.3,13.2,1.0
162,PH012933000,Region I,Ilocos Sur,Tagudin,18.8,2.6,14.1,14.4,23.2,20.6,1.9,9.3,23.7,2.1,8.9,1.0
163,PH012934000,Region I,Ilocos Sur,Vigan City,13.3,2.0,14.7,10.1,16.5,12.4,1.6,12.9,6.9,1.6,23.2,1.0
164,PH013301000,Region I,La Union,Agoo,10.8,1.8,16.5,7.9,13.8,21.3,2.2,10.3,23.2,2.0,8.8,1.0
165,PH013302000,Region I,La Union,Aringay,12.8,2.4,18.5,8.9,16.7,26.0,3.5,13.4,32.9,3.2,9.6,1.0
166,PH013303000,Region I,La Union,Bacnotan,10.0,1.9,19.1,6.8,13.1,21.1,1.8,8.4,18.6,1.9,10.3,1.0
167,PH013304000,Region I,La Union,Bagulin,16.2,4.3,26.5,9.2,23.3,35.1,3.6,10.2,49.5,5.5,11.2,1.0
168,PH013305000,Region I,La Union,Balaoan,11.8,2.1,18.0,8.3,15.3,26.6,2.2,8.2,27.8,3.0,10.6,1.0
169,PH013306000,Region I,La Union,Bangar,12.1,2.2,18.1,8.5,15.7,27.9,3.3,11.9,27.3,2.3,8.3,1.0
170,PH013307000,Region I,La Union,Bauang,10.4,2.1,20.1,7.0,13.9,20.3,2.2,10.7,20.5,2.0,9.9,1.0
171,PH013308000,Region I,La Union,Burgos,13.4,3.9,28.8,7.1,19.8,26.2,2.8,10.6,40.8,5.1,12.5,1.0
172,PH013309000,Region I,La Union,Caba,11.5,2.8,24.6,6.8,16.1,25.2,1.8,7.2,29.6,3.5,11.7,1.0
173,PH013310000,Region I,La Union,Luna,10.6,2.1,19.6,7.2,14.0,24.7,2.9,11.8,23.5,2.1,8.8,1.0
174,PH013311000,Region I,La Union,Naguilian,10.9,1.9,17.6,7.8,14.1,21.9,2.8,12.9,27.0,2.4,9.0,1.0
175,PH013312000,Region I,La Union,Pugo,12.4,3.0,23.8,7.5,17.2,27.4,2.6,9.4,27.6,3.4,12.2,1.0
176,PH013313000,Region I,La Union,Rosario,12.3,2.0,16.3,9.0,15.6,24.8,3.6,14.4,26.0,2.1,8.2,1.0
177,PH013314000,Region I,La Union,San Fernando City,8.8,1.7,19.9,5.9,11.6,15.0,1.3,8.9,14.4,1.7,11.7,1.0
178,PH013315000,Region I,La Union,San Gabriel,13.7,3.2,23.2,8.5,19.0,29.7,4.0,13.6,39.9,4.0,10.0,1.0
179,PH013316000,Region I,La Union,San Juan,10.7,1.8,17.3,7.6,13.7,22.7,2.8,12.3,25.6,2.3,9.1,1.0
180,PH013317000,Region I,La Union,Santo Tomas,11.4,2.4,21.4,7.4,15.4,22.7,1.4,6.3,33.4,3.2,9.7,1.0
181,PH013318000,Region I,La Union,Santol,14.5,3.7,25.6,8.4,20.6,32.7,3.2,9.8,39.7,5.1,12.8,1.0
182,PH013319000,Region I,La Union,Sudipen,11.4,2.6,22.7,7.1,15.6,25.8,3.6,14.0,33.1,3.5,10.4,1.0
183,PH013320000,Region I,La Union,Tubao,12.7,3.0,23.8,7.7,17.7,26.2,3.5,13.3,31.4,3.4,10.8,1.0
184,PH015501000,Region I,Pangasinan,Agno,13.0,3.2,24.9,7.7,18.3,28.4,3.3,11.5,32.1,2.9,9.0,1.0
185,PH015502000,Region I,Pangasinan,Aguilar,13.8,3.2,23.0,8.6,19.1,26.0,2.1,8.1,31.1,3.1,9.9,1.0
186,PH015503000,Region I,Pangasinan,Alaminos City,12.1,2.2,18.6,8.4,15.7,19.9,2.0,10.1,24.8,2.2,8.8,1.0
187,PH015504000,Region I,Pangasinan,Alcala,11.5,2.5,21.7,7.4,15.6,20.3,1.5,7.5,24.4,2.8,11.5,1.0
188,PH015505000,Region I,Pangasinan,Anda,13.9,3.2,22.9,8.6,19.1,25.9,2.1,8.0,31.6,3.2,10.0,1.0
189,PH015506000,Region I,Pangasinan,Asungan,10.6,2.3,21.4,6.9,14.3,20.4,2.0,10.0,22.2,2.6,11.5,1.0
190,PH015507000,Region I,Pangasinan,Balungo,11.7,3.0,25.7,6.7,16.6,21.4,2.1,10.0,31.7,3.5,11.1,1.0
191,PH015508000,Region I,Pangasinan,Bani,12.4,2.5,19.8,8.4,16.4,21.0,1.1,5.3,29.9,2.8,9.4,1.0
